ImageName,Label,Theta0_Lambda1_LocalEnergy,Theta0_Lambda1_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta1_Lambda1_LocalEnergy,Theta1_Lambda1_MeanAmplitude,Theta1_Lambda0_LocalEnergy,Theta1_Lambda0_MeanAmplitude,Theta1_Lambda0_LocalEnergy,Theta1_Lambda0_MeanAmplitude,Theta1_Lambda0_LocalEnergy,Theta1_Lambda0_MeanAmplitude,Theta1_Lambda0_LocalEnergy,Theta1_Lambda0_MeanAmplitude,Theta0_Lambda1_LocalEnergy,Theta0_Lambda1_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda1_LocalEnergy,Theta0_Lambda1_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda1_LocalEnergy,Theta0_Lambda1_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude
1.png,bad,129313,513012,14458234,9114620,134398,129313,513012,14458234,9114620,134398,129271,573773,14378458,9349708,132022,129028,213980,14378800,15690467,17313449,128816,216896,14330966,15691330,17349071,32703379,32634912,25734702,31349946,32702554,32703379,32634912,25734702,31349946,32702554,32703481,32618555,25631058,31290888,32702946,32703634,32684724,20141262,10404019,11006827,32703610,32684624,20141172,10404066,11006997
10.jpg.png,bad,6617146,14997906,8035480,13608074,13285935,6617146,14997906,8035480,13608074,13285935,6670956,15068678,8149702,13560060,13267423,3745962,13878745,19084763,20268997,21228942,3787950,13879094,19029851,20315095,21168465,39066778,29887280,23805742,27407910,37064525,39066778,29887280,23805742,27407910,37064525,39015052,29810098,23772126,27341300,37008187,39791512,31045571,18809207,9704705,10267446,39787302,31038616,18809029,9704819,10267297
10.png,bad,122742,1229139,13119582,11641769,123914,122742,1229139,13119582,11641769,123914,122145,1235040,13161767,11548627,124840,122040,375268,13851196,14620421,16067181,122079,382622,13855293,14580297,16063162,31052540,30890087,23733280,29072325,31052184,31052540,30890087,23733280,29072325,31052184,31052679,30871666,23732199,29065465,31052190,31052742,31014006,18489612,9539999,10093207,31052751,31013240,18489683,9540061,10093198
100.png,bad,6513169,10490119,7403498,9218975,9374982,6513169,10490119,7403498,9218975,9374982,6495637,10455041,7312486,9221708,9349615,3586300,10652412,10920577,11410179,11376669,3561926,10610281,10912027,11380131,11413378,21941783,15435371,11136616,13675917,20435278,21941783,15435371,11136616,13675917,20435278,21935699,15433371,11136418,13677244,20430109,22689380,16254006,8676389,4477005,4736233,22688966,16253525,8676331,4476659,4736218
10091.jpg,bad,22110239,25899722,29286201,27478609,21287873,22110239,25899722,29286201,27478609,21287873,22091007,25679433,29366813,27213620,21402168,22450845,25231329,29954890,29669722,29345308,22515079,25243032,30042662,29624743,29280446,37070983,27782764,20794413,25300433,34599503,37070983,27782764,20794413,25300433,34599503,36988019,27717971,20794239,25270908,34511652,38873677,28878965,16200628,8359022,8843458,38869625,28875208,16200694,8358873,8843308
101.png,bad,4791598,10944354,7770617,10402032,8034579,4791598,10944354,7770617,10402032,8034579,4799380,10977957,7786166,10426706,8060241,2415757,11057492,11275918,11865847,11455407,2420886,11065364,11279382,11884662,11453538,23787336,17210054,12428593,15260478,22533249,23787336,17210054,12428593,15260478,22533249,23777888,17205485,12426494,15261384,22524221,24340437,18117720,9682918,4996255,5285811,24339884,18118116,9682940,4996216,5285634
10107.jpg,bad,23929714,22764029,30913085,26485078,23042719,23929714,22764029,30913085,26485078,23042719,23882247,22655797,30988113,26354694,23020800,24281080,21617053,29182549,30870221,31416314,24278364,21634919,29234645,30777842,31361683,44297630,33216739,25227335,30339598,41339185,44297630,33216739,25227335,30339598,41339185,44266953,33191391,25226641,30325842,41305544,46475580,34530571,19653287,10140679,10728456,46475930,34530571,19653635,10140728,10728677
10192.jpg,bad,24758416,24710138,34225160,28824045,23944536,24758416,24710138,34225160,28824045,23944536,24608422,24537584,34180822,28666642,23976321,24977858,23198787,32112465,33793855,34336959,24978027,23313698,32136194,33680110,34323558,48310684,37329894,28519404,34368079,45387188,48310684,37329894,28519404,34368079,45387188,48234514,37272454,28520360,34343294,45305989,50446678,38627809,22220227,11464807,12129577,50446943,38628182,22220072,11464718,12129654
102.png,bad,8481982,10685406,8609960,8333491,10526159,8481982,10685406,8609960,8333491,10526159,8525478,10664202,8473563,8445329,10503316,5951885,10946856,11607668,12060221,11864978,5918780,10952566,11689993,11998127,11909418,21795414,15044924,10836112,13308809,20101357,21795414,15044924,10836112,13308809,20101357,21789910,15044476,10839107,13311729,20098672,22770841,15859928,8441446,4355549,4608142,22771548,15859998,8441533,4355553,4608110
10293.jpg,bad,22180644,18372095,23948856,19936603,21663974,22180644,18372095,23948856,19936603,21663974,22164920,18695694,23835126,20002815,21500640,22631325,19034874,23232610,24839697,25286714,22553020,18962609,23129252,24775075,25246489,34640750,23804129,17174306,21090347,31737378,34640750,23804129,17174306,21090347,31737378,34640240,23814796,17192630,21105493,31738656,36778993,25078378,13381962,6904383,7304750,36779146,25077625,13381792,6904505,7304713
